pos,Nasz.Dziennik,Gazeta.Wyborcza,Super.Express,Slowo
1,jan paweł ii,franciszek,tajnym,papież
2,błogosławiony,hierarcha,mastalerek,papież
3,karol wojtyła,arcybiskup,premier kanady,papież
4,evangelium vitae,benedykt xvi,bezczelnie,papież
5,nauczał,kardynał,popis,papież
6,sługa boży,metropolita,sikorski,papież
7,poświęcił,gauck,władca,papież
8,kapłana,kaczyński,odważny,papież
9,kapłan,gądecki,wałęsa,papież
10,kardynał,prymas,stonoga,papież
11,życzył,fidel,kłamie,papież
12,maryjny,abp,zaakceptował,papież
13,encyklice,hoser,wielokrotnie,papież
14,wieczny,jan paweł ii,sam,papież
15,zawierzenia,schetyna,duchowny,papież
16,uczył,nycz,bohaterem,papież
17,prymas,stanisław gądecki,franciszek,papież
18,jerzy popiełuszko,bolesnej,giertych,papież
19,patron,parolin,niepokorny,papież
20,ksiądz,wysiłek,wyznał,papież
21,duszy,żuchowski,światu,papież
22,święty jan,polityk,człowiek,papież
23,stefan wyszyński,comey,jan paweł ii,papież
24,benedykt xvi,izdebski,personalnie,papież
25,artysta,oburzony,wojtunik,papież
26,wikariusz,homilii,zapewniał,papież
27,kazania,szef rządu,gwiazdor,papież
28,pamiętne,łukaszenka,amerykański,papież
29,nazywał,michnik,występując,papież
30,włocławski,józef michalik,zachodni,papież
31,brat albert,amerykanom,pamięta,papież
32,posługę,putin,opuści,papież
33,jezus,glemp,usterkę,papież
34,szetela,jarosław kaczyński,lis,papież
35,świętemu,biedroń,robił,papież
36,kaznodzieja,koncept,młody,papież
37,głosił,duda,uśmiechnięty,papież
38,niósł,pielgrzymki,kwaśniewski,papież
39,świętym,nasz dom,pisał,papież
40,janie,tusk,istotnie,papież
1,feminizm,pojęcie,przyszłości,gender
2,ideologii,prawom,lodówka,gender
3,ideologia,kodeks pracy,naszym,gender
4,uniemożliwiającą,zaprzeczenie,systemie,gender
5,feministycznej,fundamentalną,środowisku,gender
6,neomarksistowskiej,psychologiczny,zamyśle,gender
7,skrajnie,konkordatu,obrazków,gender
8,ideologię,szkodzi,kobiecych,gender
9,homoseksualizmu,rozlicza,centralnych,gender
10,uderzającej,mechanizmów,wsparciem,gender
11,satanistycznej,ideologii,naturalnego,gender
12,zagrożeń,dyscypliny,estonii,gender
13,feminizmu,zdrada,ryzyka,gender
14,propagatorzy,autorytet,producent,gender
15,propagatorów,thun,ifg,gender
16,ideologią,zaprzeczeniem,zwierzęce,gender
17,promowania,narusza,na wysokim,gender
18,feministyczną,białoczerwonej,znaczącym,gender
19,violence,pojęć,trypolisie,gender
20,maską,działam,postacie,gender
21,niestereotypowych,pomysłem,układzie,gender
22,propagowaniu,antysemityzmu,fajny,gender
23,stop,nauką,oryginalny,gender
24,pedofilii,sprzeczna,niepodległościowe,gender
25,genderyzmu,rządzenia,wywiadach,gender
26,propagowania,godność,strojach,gender
27,kościół katolicki,polskoniemieckiej,gwarancją,gender
28,homoseksualizm,absolutny,odważnej,gender
29,seksedukacji,społeczeństwu,europie,gender
30,genderowej,mądra,cyfrowej,gender
31,wiadomości tvp,ewidentna,kultowych,gender
32,wyróżnikiem,zamrażania,wyrażali,gender
33,aborcji,nowoczesności,uspokojenie,gender
34,seksualizację,antyprzemocowa,zagospodarowania,gender
35,propagowanie,honor,języku,gender
36,niestereotypowe,wartością,debatach,gender
37,tolerancji,ideologię,sens,gender
38,promowanie,instancją,rządzących,gender
39,promuje,definicja,wątkiem,gender
40,dewiacji,metoda,warunkach,gender
1,sowieci,wielka brytania,przyjęły,niemcy
2,żydzi,włochy,kraje,niemcy
3,ukraińcy,stany zjednoczone,one,niemcy
4,powstańcy,chiny,wymieniane,niemcy
5,chłopcy,francja,budynki,niemcy
6,bolszewicy,hiszpania,turyści,niemcy
7,aresztowani,węgry,narody,niemcy
8,więzili,kraje bałtyckie,niektórzy,niemcy
9,naziści,anglia,szlaki,niemcy
10,rozstrzelali,szwecja,wielka brytania,niemcy
11,wymordowali,francję,portale,niemcy
12,pomordowani,finlandia,polskie,niemcy
13,pogrzebani,czechy,obywatele,niemcy
14,ginęli,brytyjczycy,handlowe,niemcy
15,armia czerwona,słowacja,rosjanie,niemcy
16,anglicy,obywatele,chińczycy,niemcy
17,polacy,brytania,francję,niemcy
18,mężczyźni,kraje,budować,niemcy
19,mordowani,przejadą,inwestorzy,niemcy
20,znani,holandia,żołnierze,niemcy
21,ulmowie,rosjanie,nasi,niemcy
22,rozstrzeliwali,islandia,działają,niemcy
23,umieszczeni,bałkańskie,usuwane,niemcy
24,mordowali,ukraińcy,łamią,niemcy
25,niemieccy,rosja,półwyspu,niemcy
26,więźniowie,hiszpanie,groźne,niemcy
27,rozstrzelani,trójkąt weimarski,momenty,niemcy
28,wysyłani,norwegia,wojskowe,niemcy
29,ranni,norwegię,polacy,niemcy
30,komuniści,liberia,ukraińcy,niemcy
31,zamordowani,republikę,produkowane,niemcy
32,francuzi,kanada,zawierane,niemcy
33,upamiętnieni,emigranci,przerażeni,niemcy
34,stacjonowali,ziemie,władze,niemcy
35,jeńcy,przerzucają,małe,niemcy
36,oni,motocykliści,zbóż,niemcy
37,licealiści,libijczycy,wyznawcy,niemcy
38,zbrodniarze,białoruś,ziemie,niemcy
39,oprawcy,regiony,ćwiczenie,niemcy
40,amerykanie,niemieccy,niewystarczające,niemcy
